Área,Dia da Semana,Data da Ocorência,Logradouro,Endereço,Bairro,Cidade,Hora (valor inteiro),Hora da Chamada,Tipo de Ocorrência
1º BPM,segunda-feira,01/02/21,"RUA CAMPOS TEXEIRA  361 , PONTA DA TERRA , MACEIÓ",RUA CAMPOS TEXEIRA  361,PONTA DA TERRA,MACEIÓ,16,16:08,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO
1º BPM,segunda-feira,01/02/21,"RUA CAMPOS TEIXEIRA 361 , PONTA DA TERRA , MACEIÓ",RUA CAMPOS TEIXEIRA 361,PONTA DA TERRA,MACEIÓ,16,16:18,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO
1º BPM,segunda-feira,01/02/21,"RUA CABO REIS 298 , PONTA GROSSA , MACEIÓ",RUA CABO REIS 298,PONTA GROSSA,MACEIÓ,16,16:20,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO
1º BPM,segunda-feira,01/02/21,"QUADRA CD  , VERGEL DO LAGO , MACEIÓ",QUADRA CD ,VERGEL DO LAGO,MACEIÓ,16,16:27,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO
1º BPM,segunda-feira,01/02/21,"RUA JORGE DE LIMA  , TRAPICHE DA BARRA , MACEIÓ",RUA JORGE DE LIMA ,TRAPICHE DA BARRA,MACEIÓ,16,16:37,USUÁRIO DE ENTORPECENTE
1º BPM,segunda-feira,01/02/21,"AVENIDA C  , VERGEL DO LAGO , MACEIÓ",AVENIDA C ,VERGEL DO LAGO,MACEIÓ,16,16:43,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO
1º BPM,segunda-feira,01/02/21,"RUA PEDRO PAULINO  , POÇO , MACEIÓ",RUA PEDRO PAULINO ,POÇO,MACEIÓ,16,16:51,PORTE DE ARMA
1º BPM,segunda-feira,01/02/21,"AV. ASSIS CHATEAUBRIAND BLOCO 48 , TRAPICHE DA BARRA , MACEIÓ",AV. ASSIS CHATEAUBRIAND BLOCO 48,TRAPICHE DA BARRA,MACEIÓ,16,16:52,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO
1º BPM,segunda-feira,01/02/21,"TRAV. MONTE CASTELO  , VERGEL DO LAGO , MACEIÓ",TRAV. MONTE CASTELO ,VERGEL DO LAGO,MACEIÓ,16,16:59,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO
1º BPM,segunda-feira,01/02/21,"RUA MONSENHOR LUIZ BARBOSA 167E , TRAPICHE DA BARRA , MACEIÓ",RUA MONSENHOR LUIZ BARBOSA 167E,TRAPICHE DA BARRA,MACEIÓ,16,16:59,LESÃO CORPORAL
1º BPM,segunda-feira,01/02/21,"RUA CABO REIS  , PONTA GROSSA , MACEIÓ",RUA CABO REIS ,PONTA GROSSA,MACEIÓ,17,17:30,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO
1º BPM,segunda-feira,01/02/21,"RUA CABO REIS   , PONTA GROSSA , MACEIÓ",RUA CABO REIS  ,PONTA GROSSA,MACEIÓ,17,17:37,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO
1º BPM,segunda-feira,01/02/21,"RUA HAMILTON DE BARROS SOUTINHO  , JATIÚCA , MACEIÓ",RUA HAMILTON DE BARROS SOUTINHO ,JATIÚCA,MACEIÓ,17,17:41,PERTURBAÇÃO DA TRANQUILIDADE
1º BPM,segunda-feira,01/02/21,"RUA MARIA DOS SANTOS  , JATIÚCA , MACEIÓ",RUA MARIA DOS SANTOS ,JATIÚCA,MACEIÓ,17,17:42,LESÃO CORPORAL
1º BPM,segunda-feira,01/02/21,"RUA CABO REIS  , PONTA GROSSA , MACEIÓ",RUA CABO REIS ,PONTA GROSSA,MACEIÓ,17,17:44,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO
1º BPM,segunda-feira,01/02/21,"POSTO NENO  , PONTA GROSSA , MACEIÓ",POSTO NENO ,PONTA GROSSA,MACEIÓ,17,17:56,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO
1º BPM,segunda-feira,01/02/21,"RUA JORGE DE LIMA  , TRAPICHE DA BARRA , MACEIÓ",RUA JORGE DE LIMA ,TRAPICHE DA BARRA,MACEIÓ,17,17:58,VIOLÊNCIA CONTRA A MULHER
1º BPM,segunda-feira,01/02/21,"AVENIDA C  , VERGEL DO LAGO , MACEIÓ",AVENIDA C ,VERGEL DO LAGO,MACEIÓ,18,18:11,PERTURBAÇÃO DA TRANQUILIDADE
1º BPM,segunda-feira,01/02/21,"RUA  CABO REIS   , VERGEL DO LAGO , MACEIÓ",RUA  CABO REIS  ,VERGEL DO LAGO,MACEIÓ,18,18:14,PERTURBAÇÃO DA TRANQUILIDADE
1º BPM,segunda-feira,01/02/21,"RUA JOÃO DAVINO  , MANGABEIRAS , MACEIÓ",RUA JOÃO DAVINO ,MANGABEIRAS,MACEIÓ,18,18:15,ROUBO
1º BPM,segunda-feira,01/02/21,"AV. ASSIS CHATEAUBRIAND  , TRAPICHE DA BARRA , MACEIÓ",AV. ASSIS CHATEAUBRIAND ,TRAPICHE DA BARRA,MACEIÓ,18,18:16,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO
1º BPM,segunda-feira,01/02/21,"RUA FORMOSA  , PONTA GROSSA , MACEIÓ",RUA FORMOSA ,PONTA GROSSA,MACEIÓ,18,18:17,PERTURBAÇÃO DA TRANQUILIDADE
1º BPM,segunda-feira,01/02/21,"RUA JANGADEIROS ALAGOANOS   , PAJUÇARA , MACEIÓ",RUA JANGADEIROS ALAGOANOS  ,PAJUÇARA,MACEIÓ,18,18:25,FURTO
1º BPM,segunda-feira,01/02/21,"QUADRA: 6  , VERGEL DO LAGO , MACEIÓ",QUADRA: 6 ,VERGEL DO LAGO,MACEIÓ,18,18:37,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO
1º BPM,segunda-feira,01/02/21,"RUA BOA SORTE.  , PONTA GROSSA , MACEIÓ",RUA BOA SORTE. ,PONTA GROSSA,MACEIÓ,18,18:41,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO
1º BPM,segunda-feira,01/02/21,"RUA CABO REIAS. 298 , PONTA GROSSA , MACEIÓ",RUA CABO REIAS. 298,PONTA GROSSA,MACEIÓ,18,18:49,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO
1º BPM,segunda-feira,01/02/21,"RUA DIEGUES JUNIOR  , POÇO , MACEIÓ",RUA DIEGUES JUNIOR ,POÇO,MACEIÓ,18,18:54,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO
1º BPM,segunda-feira,01/02/21,"RUA CABO REIS  , PONTA GROSSA , MACEIÓ",RUA CABO REIS ,PONTA GROSSA,MACEIÓ,18,18:55,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO
1º BPM,segunda-feira,01/02/21,"NA PRAÇA MULTIEVENTOS  , PAJUÇARA , MACEIÓ",NA PRAÇA MULTIEVENTOS ,PAJUÇARA,MACEIÓ,19,19:02,PERTURBAÇÃO DA TRANQUILIDADE
1º BPM,segunda-feira,01/02/21,"RUA DOUTOR  LUIS DE BARROS  , VERGEL DO LAGO , MACEIÓ",RUA DOUTOR  LUIS DE BARROS ,VERGEL DO LAGO,MACEIÓ,19,19:09,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO
1º BPM,segunda-feira,01/02/21,"CONJ DOS PESCADORES / QD G  , VERGEL DO LAGO , MACEIÓ",CONJ DOS PESCADORES / QD G ,VERGEL DO LAGO,MACEIÓ,19,19:21,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO
1º BPM,segunda-feira,01/02/21,"RUA DR. LUIZ DE BARRO.  , VERGEL DO LAGO , MACEIÓ",RUA DR. LUIZ DE BARRO. ,VERGEL DO LAGO,MACEIÓ,19,19:24,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO
1º BPM,segunda-feira,01/02/21,"CONJUNTO MELO COSTA  , POÇO , MACEIÓ",CONJUNTO MELO COSTA ,POÇO,MACEIÓ,20,20:14,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO
1º BPM,segunda-feira,01/02/21,"RUA FRANCO JATOBA  , PRADO , MACEIÓ",RUA FRANCO JATOBA ,PRADO,MACEIÓ,20,20:29,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO
1º BPM,segunda-feira,01/02/21,"RUA SANTO JATOBÁ  , TRAPICHE DA BARRA , MACEIÓ",RUA SANTO JATOBÁ ,TRAPICHE DA BARRA,MACEIÓ,20,20:39,PERTURBAÇÃO DA TRANQUILIDADE
1º BPM,segunda-feira,01/02/21,"RUA FORMOSA  , PONTA GROSSA , MACEIÓ",RUA FORMOSA ,PONTA GROSSA,MACEIÓ,20,20:42,PERTURBAÇÃO DA TRANQUILIDADE
1º BPM,segunda-feira,01/02/21,"RUA FRANCO JATOBA  , PRADO , MACEIÓ",RUA FRANCO JATOBA ,PRADO,MACEIÓ,20,20:46,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO
1º BPM,segunda-feira,01/02/21,"RUA SÃO FRANCISCO DE ASSIS  , LEVADA , MACEIÓ",RUA SÃO FRANCISCO DE ASSIS ,LEVADA,MACEIÓ,20,20:48,PORTE DE ARMA
1º BPM,segunda-feira,01/02/21,"RUA BELA VISTA  , LEVADA , MACEIÓ",RUA BELA VISTA ,LEVADA,MACEIÓ,21,21:55,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO
1º BPM,segunda-feira,01/02/21,"RUA DO CANAL/ RUA BOM JESUS  , TRAPICHE DA BARRA , MACEIÓ",RUA DO CANAL/ RUA BOM JESUS ,TRAPICHE DA BARRA,MACEIÓ,21,21:58,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO
1º BPM,segunda-feira,01/02/21,"CONJ. VIRGEM DOS POBRES II  , TRAPICHE DA BARRA , MACEIÓ",CONJ. VIRGEM DOS POBRES II ,TRAPICHE DA BARRA,MACEIÓ,22,22:03,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO
1º BPM,segunda-feira,01/02/21,"RUA JOSÉ FRAGOSO FILHO  , PAJUÇARA , MACEIÓ",RUA JOSÉ FRAGOSO FILHO ,PAJUÇARA,MACEIÓ,22,22:04,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO
1º BPM,segunda-feira,01/02/21,"RUA CAMPO VERDE  , VERGEL DO LAGO , MACEIÓ",RUA CAMPO VERDE ,VERGEL DO LAGO,MACEIÓ,22,22:05,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO
1º BPM,segunda-feira,01/02/21,"RUA CLAUDIO RAMOS  , PONTA VERDE , MACEIÓ",RUA CLAUDIO RAMOS ,PONTA VERDE,MACEIÓ,22,22:06,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO
1º BPM,segunda-feira,01/02/21,"AVENIDA CABO REIS/ CONJ. LENITA VILELA  , TRAPICHE DA BARRA , MACEIÓ",AVENIDA CABO REIS/ CONJ. LENITA VILELA ,TRAPICHE DA BARRA,MACEIÓ,22,22:07,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO
1º BPM,segunda-feira,01/02/21,"AVENIDA C  , VERGEL DO LAGO , MACEIÓ",AVENIDA C ,VERGEL DO LAGO,MACEIÓ,22,22:09,PERTURBAÇÃO DA TRANQUILIDADE
1º BPM,segunda-feira,01/02/21,"RUA CAMPO VERDE  , VERGEL DO LAGO , MACEIÓ",RUA CAMPO VERDE ,VERGEL DO LAGO,MACEIÓ,22,22:15,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO
1º BPM,segunda-feira,01/02/21,"RUA DA PAZ.  , TRAPICHE DA BARRA , MACEIÓ",RUA DA PAZ. ,TRAPICHE DA BARRA,MACEIÓ,22,22:20,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO
1º BPM,segunda-feira,01/02/21,"RUA DA PAZ  , VERGEL DO LAGO , MACEIÓ",RUA DA PAZ ,VERGEL DO LAGO,MACEIÓ,22,22:22,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO
1º BPM,segunda-feira,01/02/21,"AVENIDA AMAZONAS  , PRADO , MACEIÓ",AVENIDA AMAZONAS ,PRADO,MACEIÓ,22,22:23,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO
1º BPM,segunda-feira,01/02/21,"RUA MIRAMAR  , PRADO , MACEIÓ",RUA MIRAMAR ,PRADO,MACEIÓ,22,22:26,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO
1º BPM,segunda-feira,01/02/21,"RUA CARAMURUS  , PRADO , MACEIÓ",RUA CARAMURUS ,PRADO,MACEIÓ,22,22:29,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO
1º BPM,segunda-feira,01/02/21,"RUA FORMOSA  , PONTA GROSSA , MACEIÓ",RUA FORMOSA ,PONTA GROSSA,MACEIÓ,22,22:31,PERTURBAÇÃO DA TRANQUILIDADE
1º BPM,segunda-feira,01/02/21,"RUA SAO PAULO  , PONTA GROSSA , MACEIÓ",RUA SAO PAULO ,PONTA GROSSA,MACEIÓ,22,22:42,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO
1º BPM,segunda-feira,01/02/21,"RUA ALTO DA FLORESTA  , PONTAL DA BARRA , MACEIÓ",RUA ALTO DA FLORESTA ,PONTAL DA BARRA,MACEIÓ,22,22:48,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO
1º BPM,segunda-feira,01/02/21,"RUA TRIUNFO  , POÇO , MACEIÓ",RUA TRIUNFO ,POÇO,MACEIÓ,22,22:49,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO
1º BPM,segunda-feira,01/02/21,"RUA CAMPO VERDE  , VERGEL DO LAGO , MACEIÓ",RUA CAMPO VERDE ,VERGEL DO LAGO,MACEIÓ,22,22:52,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO
1º BPM,segunda-feira,01/02/21,"RUA TIRADENTES  , PONTA GROSSA , MACEIÓ",RUA TIRADENTES ,PONTA GROSSA,MACEIÓ,22,22:52,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO
1º BPM,segunda-feira,01/02/21,"QD 25  , VERGEL DO LAGO , MACEIÓ",QD 25 ,VERGEL DO LAGO,MACEIÓ,22,22:57,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO
1º BPM,segunda-feira,01/02/21,"RUA FRANCO JATOBÁ  , PRADO , MACEIÓ",RUA FRANCO JATOBÁ ,PRADO,MACEIÓ,23,23:03,PERTURBAÇÃO DA TRANQUILIDADE
1º BPM,segunda-feira,01/02/21,"RUA MIRAMAR  , PRADO , MACEIÓ",RUA MIRAMAR ,PRADO,MACEIÓ,23,23:10,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO
1º BPM,segunda-feira,01/02/21,"RUA MIRAMAR  , PRADO , MACEIÓ",RUA MIRAMAR ,PRADO,MACEIÓ,23,23:12,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO
1º BPM,segunda-feira,01/02/21,"RUA DOUTOR SADI DE CARVALHO  , JATIÚCA , MACEIÓ",RUA DOUTOR SADI DE CARVALHO ,JATIÚCA,MACEIÓ,23,23:14,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO
1º BPM,segunda-feira,01/02/21,"RUA FIRMINO VASCONCELOS  , PAJUÇARA , MACEIÓ",RUA FIRMINO VASCONCELOS ,PAJUÇARA,MACEIÓ,23,23:30,USUÁRIO DE ENTORPECENTE
1º BPM,segunda-feira,01/02/21,"RUA VIRGILIO GUEDES  , VERGEL DO LAGO , MACEIÓ",RUA VIRGILIO GUEDES ,VERGEL DO LAGO,MACEIÓ,23,23:32,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO
1º BPM,segunda-feira,01/02/21,"RUA FIRMINO VASCONCELOS  , PAJUÇARA , MACEIÓ",RUA FIRMINO VASCONCELOS ,PAJUÇARA,MACEIÓ,23,23:37,USUÁRIO DE ENTORPECENTE
1º BPM,segunda-feira,01/02/21,"CONJ. VIRGEM DOS POBRES II QD:57  , TRAPICHE DA BARRA , MACEIÓ",CONJ. VIRGEM DOS POBRES II QD:57 ,TRAPICHE DA BARRA,MACEIÓ,23,23:44,PERTURBAÇÃO DA TRANQUILIDADE
1º BPM,segunda-feira,01/02/21,"RUA DR. LUIZ DE BARROS  , VERGEL DO LAGO , MACEIÓ",RUA DR. LUIZ DE BARROS ,VERGEL DO LAGO,MACEIÓ,23,23:53,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO
1º BPM,segunda-feira,01/02/21,"RUA BOM SUCESSO  , VERGEL DO LAGO , MACEIÓ",RUA BOM SUCESSO ,VERGEL DO LAGO,MACEIÓ,23,23:58,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO
1º BPM,terça-feira,02/02/21,"RUA DOS TIMBIRAS - QUADRA 30  , VERGEL DO LAGO , MACEIÓ",RUA DOS TIMBIRAS - QUADRA 30 ,VERGEL DO LAGO,MACEIÓ,0,0:08,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO
1º BPM,terça-feira,02/02/21,"RUA RADIALISTA DJAMAL VALEÇA 13 , VERGEL DO LAGO , MACEIÓ",RUA RADIALISTA DJAMAL VALEÇA 13,VERGEL DO LAGO,MACEIÓ,0,0:15,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO
1º BPM,terça-feira,02/02/21,"RUA FORMOSO   , PONTA GROSSA , MACEIÓ",RUA FORMOSO  ,PONTA GROSSA,MACEIÓ,0,0:48,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO
1º BPM,terça-feira,02/02/21,"RUA NOVA ESPERANÇA  , VERGEL DO LAGO , MACEIÓ",RUA NOVA ESPERANÇA ,VERGEL DO LAGO,MACEIÓ,0,0:55,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO
1º BPM,terça-feira,02/02/21,"QUADRA 7 24 , TRAPICHE DA BARRA , MACEIÓ",QUADRA 7 24,TRAPICHE DA BARRA,MACEIÓ,1,1:24,PERTURBAÇÃO DA TRANQUILIDADE
1º BPM,terça-feira,02/02/21,"AV. CELESTE BEZERRA , LEVADA , MACEIÓ",AV. CELESTE BEZERRA,LEVADA,MACEIÓ,1,1:28,HOMICÍDIO
1º BPM,terça-feira,02/02/21,"RUA FRANCO JATOBA  , PRADO , MACEIÓ",RUA FRANCO JATOBA ,PRADO,MACEIÓ,1,1:33,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO
1º BPM,terça-feira,02/02/21,"RUA DR. ZEFERINO RODRIGUES  224 , PAJUÇARA , MACEIÓ",RUA DR. ZEFERINO RODRIGUES  224,PAJUÇARA,MACEIÓ,1,1:42,AMEAÇA
1º BPM,terça-feira,02/02/21,"CONJUNTO LEILA VILELA 02 , TRAPICHE DA BARRA , MACEIÓ",CONJUNTO LEILA VILELA 02,TRAPICHE DA BARRA,MACEIÓ,1,1:56,LESÃO CORPORAL
1º BPM,terça-feira,02/02/21,"RUA NOVA ESPERANCA 59 , VERGEL DO LAGO , MACEIÓ",RUA NOVA ESPERANCA 59,VERGEL DO LAGO,MACEIÓ,2,2:40,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO
1º BPM,terça-feira,02/02/21,"QUADRA 20 22 , TRAPICHE DA BARRA , MACEIÓ",QUADRA 20 22,TRAPICHE DA BARRA,MACEIÓ,3,3:26,AMEAÇA
1º BPM,terça-feira,02/02/21,"RUA PEDRO AMERICO  , POÇO , MACEIÓ",RUA PEDRO AMERICO ,POÇO,MACEIÓ,4,4:12,FURTO
1º BPM,terça-feira,02/02/21,"QUADRA 11 NE 31  , VERGEL DO LAGO , MACEIÓ",QUADRA 11 NE 31 ,VERGEL DO LAGO,MACEIÓ,8,8:29,VIOLÊNCIA CONTRA A MULHER
1º BPM,terça-feira,02/02/21,"RUA CIRILO DE CASTRO  , LEVADA , MACEIÓ",RUA CIRILO DE CASTRO ,LEVADA,MACEIÓ,8,8:48,PERTURBAÇÃO DA TRANQUILIDADE
1º BPM,terça-feira,02/02/21,"RUA CIRILO DE CASTRO  , LEVADA , MACEIÓ",RUA CIRILO DE CASTRO ,LEVADA,MACEIÓ,10,10:00,PERTURBAÇÃO DA TRANQUILIDADE
1º BPM,terça-feira,02/02/21,"NA PRAÇA GUIEDES   , PONTA GROSSA , MACEIÓ",NA PRAÇA GUIEDES  ,PONTA GROSSA,MACEIÓ,10,10:46,AMEAÇA
1º BPM,terça-feira,02/02/21,"RUA IDEAL  , CENTRO , MACEIÓ",RUA IDEAL ,CENTRO,MACEIÓ,13,13:09,TRÁFICO 
1º BPM,terça-feira,02/02/21,"RUA CABO REIS   , PONTA GROSSA , MACEIÓ",RUA CABO REIS  ,PONTA GROSSA,MACEIÓ,13,13:11,FURTO
1º BPM,terça-feira,02/02/21,"RUA BOM DESTINO 443 , PONTA GROSSA , MACEIÓ",RUA BOM DESTINO 443,PONTA GROSSA,MACEIÓ,14,14:04,USUÁRIO DE ENTORPECENTE
1º BPM,terça-feira,02/02/21,"RUA VILA KENEDY  , VERGEL DO LAGO , MACEIÓ",RUA VILA KENEDY ,VERGEL DO LAGO,MACEIÓ,14,14:37,FURTO
1º BPM,terça-feira,02/02/21,"RUA SANTA MARIA  62 , VERGEL DO LAGO , MACEIÓ",RUA SANTA MARIA  62,VERGEL DO LAGO,MACEIÓ,14,14:41,ROUBO
1º BPM,terça-feira,02/02/21,"RUA BOM DESTINO  , PONTA GROSSA , MACEIÓ",RUA BOM DESTINO ,PONTA GROSSA,MACEIÓ,14,14:46,TRÁFICO 
1º BPM,terça-feira,02/02/21,"AV. AMELIA ROSA  , JATIÚCA , MACEIÓ",AV. AMELIA ROSA ,JATIÚCA,MACEIÓ,15,15:44,ROUBO
1º BPM,terça-feira,02/02/21,"RUA OLIVEIRA E SILVA  , CENTRO , MACEIÓ",RUA OLIVEIRA E SILVA ,CENTRO,MACEIÓ,16,16:56,FURTO
1º BPM,terça-feira,02/02/21,"QD 1  , VERGEL DO LAGO , MACEIÓ",QD 1 ,VERGEL DO LAGO,MACEIÓ,17,17:51,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO
1º BPM,terça-feira,02/02/21,"Q:26  , VERGEL DO LAGO , MACEIÓ",Q:26 ,VERGEL DO LAGO,MACEIÓ,18,18:16,LESÃO CORPORAL
1º BPM,terça-feira,02/02/21,"AV. ASSIS CHATEAUBRIAND  , JARAGUÁ , MACEIÓ",AV. ASSIS CHATEAUBRIAND ,JARAGUÁ,MACEIÓ,18,18:58,TRÁFICO 
1º BPM,terça-feira,02/02/21,"QD 18  112 , VERGEL DO LAGO , MACEIÓ",QD 18  112,VERGEL DO LAGO,MACEIÓ,18,18:59,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO
1º BPM,terça-feira,02/02/21,"RUA INDUSTRIAL CLIMERIO SARMENTO  , JATIÚCA , MACEIÓ",RUA INDUSTRIAL CLIMERIO SARMENTO ,JATIÚCA,MACEIÓ,19,19:58,PERTURBAÇÃO DA TRANQUILIDADE
1º BPM,terça-feira,02/02/21,"RUA VALTAZAR DE MENDONZA, VILA VENEZA  , PONTA GROSSA , MACEIÓ","RUA VALTAZAR DE MENDONZA, VILA VENEZA ",PONTA GROSSA,MACEIÓ,20,20:33,AMEAÇA
1º BPM,terça-feira,02/02/21,"TRAV. DONA CONSTANCA  , MANGABEIRAS , MACEIÓ",TRAV. DONA CONSTANCA ,MANGABEIRAS,MACEIÓ,21,21:05,ROUBO
1º BPM,terça-feira,02/02/21,"RUA INDUSTRIAL CLIMERIO SARMENTO  , JATIÚCA , MACEIÓ",RUA INDUSTRIAL CLIMERIO SARMENTO ,JATIÚCA,MACEIÓ,21,21:07,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO
1º BPM,terça-feira,02/02/21,"RUA SENADOR BERNADO SOBRINHO  122 , POÇO , MACEIÓ",RUA SENADOR BERNADO SOBRINHO  122,POÇO,MACEIÓ,21,21:20,PERTURBAÇÃO DA TRANQUILIDADE
1º BPM,terça-feira,02/02/21,"RUA JÃO ELIAS PEREIRA  , VERGEL DO LAGO , MACEIÓ",RUA JÃO ELIAS PEREIRA ,VERGEL DO LAGO,MACEIÓ,21,21:41,PERTURBAÇÃO DA TRANQUILIDADE
1º BPM,terça-feira,02/02/21,"AV. ANTONIO GOVEIA  , PAJUÇARA , MACEIÓ",AV. ANTONIO GOVEIA ,PAJUÇARA,MACEIÓ,21,21:49,LESÃO CORPORAL
1º BPM,terça-feira,02/02/21,"QD 52   , VERGEL DO LAGO , MACEIÓ",QD 52  ,VERGEL DO LAGO,MACEIÓ,21,21:55,PERTURBAÇÃO DA TRANQUILIDADE
1º BPM,terça-feira,02/02/21,"RUA MARIO NUNES VIEIRA.  , MANGABEIRAS , MACEIÓ",RUA MARIO NUNES VIEIRA. ,MANGABEIRAS,MACEIÓ,22,22:05,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO
1º BPM,terça-feira,02/02/21,"RUA CORONEL LUCENA MARANHAO  , VERGEL DO LAGO , MACEIÓ",RUA CORONEL LUCENA MARANHAO ,VERGEL DO LAGO,MACEIÓ,22,22:30,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO
1º BPM,terça-feira,02/02/21,"RUA ROSA CABUI 1250 , JATIÚCA , MACEIÓ",RUA ROSA CABUI 1250,JATIÚCA,MACEIÓ,22,22:57,AMEAÇA
1º BPM,terça-feira,02/02/21,"QUADRA 8 100 , VERGEL DO LAGO , MACEIÓ",QUADRA 8 100,VERGEL DO LAGO,MACEIÓ,23,23:38,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO
1º BPM,quarta-feira,03/02/21,"RUA DEPUTADO ELIZEU TEIXEIRA EDF. PORTO MANZANO 301 , PONTA VERDE , MACEIÓ",RUA DEPUTADO ELIZEU TEIXEIRA EDF. PORTO MANZANO 301,PONTA VERDE,MACEIÓ,0,0:03,VIOLÊNCIA CONTRA A MULHER
1º BPM,quarta-feira,03/02/21,"RUA MANAUS , PRADO , MACEIÓ",RUA MANAUS,PRADO,MACEIÓ,1,1:42,LATROCINIO TENTADO
1º BPM,quarta-feira,03/02/21,"RUA ANGELO MARTINS 550 , JATIÚCA , MACEIÓ",RUA ANGELO MARTINS 550,JATIÚCA,MACEIÓ,2,2:07,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO
1º BPM,quarta-feira,03/02/21,"XXXXXXXX  , CENTRO , MACEIÓ",XXXXXXXX ,CENTRO,MACEIÓ,4,4:37,FURTO
1º BPM,quarta-feira,03/02/21,"AVENIDA DUQUE DE CAXIAS   , POÇO , MACEIÓ",AVENIDA DUQUE DE CAXIAS  ,POÇO,MACEIÓ,4,4:55,ROUBO
1º BPM,quarta-feira,03/02/21,"RUA SEVERINO DE CASTRO   , LEVADA , MACEIÓ",RUA SEVERINO DE CASTRO  ,LEVADA,MACEIÓ,9,9:22,PERTURBAÇÃO DA TRANQUILIDADE
1º BPM,quarta-feira,03/02/21,"RUA DIEGUE JUNIOR  , POÇO , MACEIÓ",RUA DIEGUE JUNIOR ,POÇO,MACEIÓ,10,10:04,PORTE DE ARMA
1º BPM,quarta-feira,03/02/21,"QD. 48 / RESIDENCIA   , VERGEL DO LAGO , MACEIÓ",QD. 48 / RESIDENCIA  ,VERGEL DO LAGO,MACEIÓ,10,10:45,LESÃO CORPORAL
