,Data da Ocorência,Endereço,Bairro,Hora da Chamada,Tipo de Ocorrência,Localização
1296,23/01/21,RUA DO URUGUAI ,JARAGUÁ,2:51,TENTATIVA DE FURTO,"-4.0160085, -42.076242"
1297,23/01/21,RUA 16 DE SETEMBRO ,LEVADA,6:40,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,"-12.9734316, -38.4612682"
1298,23/01/21,"RUA DIEGUES JUNIOR, ",POÇO,8:28,AMEAÇA,"-9.6472229, -35.7284876"
1299,23/01/21,RUA SARGENTO JAIME  261,PRADO,11:41,AMEAÇA,"-22.9284962, -43.5693674"
1300,23/01/21,TRAV. DONA CONSTANCA ,JATIÚCA,11:47,ROUBO,"-9.6564988, -35.7218627"
1301,23/01/21,RUA SANTOS DUMONT 469 ,PONTA GROSSA,12:00,USUÁRIO DE ENTORPECENTE,"-31.7601815, -52.3440024"
1302,23/01/21,AV. ALIPIO BARBOSA DA SILVA ,PONTAL DA BARRA,14:21,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,"-9.6893887, -35.7735249"
1303,23/01/21,RUA SANDORVAL ROCHELAS ,PONTA DA TERRA,15:32,ROUBO,
1304,23/01/21,QUADRA 26 ,VERGEL DO LAGO,15:36,PERTURBAÇÃO DA TRANQUILIDADE,"-15.90729125, -47.76226014839211"
1305,23/01/21,QUADRA 27 EM FRENTE AO Nº368,VERGEL DO LAGO,15:41,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,
1306,23/01/21,RUA ALIPIO BARBOSA.  ,PONTAL DA BARRA,15:48,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,"-3.6235026, -39.8229209"
1307,23/01/21,RUA LUZIA SURUAGY S/N,LEVADA,15:57,VIOLÊNCIA CONTRA A MULHER,"-9.658801, -35.7421785"
1308,23/01/21,RUA CAMPO VERDE  ,VERGEL DO LAGO,16:00,USUÁRIO DE ENTORPECENTE,"40.9228198, -8.5005232"
1309,23/01/21,AV. QUE ACESSO AO SHOPPING. ,JATIÚCA,16:07,TENTATIVA DE ROUBO,
1310,23/01/21,AV. ALIPIO BARBOSA DA SILVA ,PONTAL DA BARRA,16:56,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,"-9.6893887, -35.7735249"
1311,23/01/21,RUA JOÃO FELIX,VERGEL DO LAGO,17:08,HOMICÍDIO,"-4.9571773, -37.1341867"
1312,23/01/21,RUA PAISSANDU  ,PONTA GROSSA,18:43,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,"-9.3941164, -38.2520885"
1313,23/01/21,RUA CARAMURUS - VILA DOIS IRMÃOS 2,PRADO,18:53,VIOLÊNCIA CONTRA A MULHER,
1314,23/01/21,RUA PROFESSOR ALMEIDA LEITE 112,TRAPICHE DA BARRA,19:50,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,"-9.6766909, -35.7611458"
1315,23/01/21,AV. JOÃO DAVINO ,MANGABEIRAS,20:18,ROUBO,"-9.6431577, -35.7026426"
1316,23/01/21,QUAD 1  ,VERGEL DO LAGO,20:40,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,"34.40893615, -119.85285569853352"
1317,23/01/21,CONJ.DOS PESCADORE QUADRA E 170 C,VERGEL DO LAGO,20:57,ROUBO,
1318,23/01/21,RUA AVENIDA BRASIL 648,POÇO,21:03,TENTATIVA DE ROUBO,"-12.3451184, 13.5443636"
1319,23/01/21,QUADRA 3 ,VERGEL DO LAGO,21:08,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,"-22.02054115, -47.87367517812933"
1320,23/01/21,RUA QUEBRANGULO ,POÇO,21:21,ROUBO,"-23.4616932, -46.3497688"
1321,23/01/21,QUADRA 18 205,VERGEL DO LAGO,21:25,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,"-15.9088383, -47.76129688619657"
1322,23/01/21,QUADRA 10  23,VERGEL DO LAGO,21:32,AMEAÇA,"-23.299332, -48.054657"
1323,23/01/21,AVENIDA DR. ANTONIO GOUVEIA ,PAJUÇARA,23:23,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,"-9.665131, -35.7101931"
1324,24/01/21,RUA ABILIO VITORINO BLOCO 2 QUADRA Z  ,MANGABEIRAS,0:30,VIOLÊNCIA CONTRA A MULHER,
1325,24/01/21,XXXXXXXXXXXX ,PONTAL DA BARRA,2:26,VIOLÊNCIA CONTRA A MULHER,
1326,24/01/21,RUA GUILERMANO REIS ,JATIÚCA,2:54,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,
1327,24/01/21,RUA FORMOSA ,PONTA GROSSA,5:34,DISPARO DE ARMA DE FOGO,"-30.0333419, -51.2315187"
1328,24/01/21,RUA SENADOR RUI PALMEIRA  ,PONTA VERDE,5:40,LESÃO CORPORAL,"-9.3853652, -37.0847583"
1329,24/01/21,AV. SIQUEIRA CAMPOS  ,TRAPICHE DA BARRA,6:38,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,"-23.6150598, -45.3882962"
1330,24/01/21,RUA JOSE SOARES SOBRINHO ,JATIÚCA,6:43,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,"-9.6464814, -35.7065339"
1331,24/01/21,RUA DESPORTISTA HUMBERTO GUIMARAES  ,PONTA VERDE,7:29,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,"-9.66368, -35.6982084"
1332,24/01/21,RUA FORMAZA ,PONTA GROSSA,8:02,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,
1333,24/01/21,RUA VILA ALMEIDA 30,VERGEL DO LAGO,13:15,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,"39.2635339, -8.8338594"
1334,24/01/21,RUA MANOEL FONTES FONTAN ,MANGABEIRAS,14:02,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,"-23.56064525, -46.654829860054406"
1335,24/01/21,RUA PAULINA MARIA DE MENDONÇA.  ,MANGABEIRAS,14:08,AMEAÇA,"-9.644432, -35.7057413"
1336,24/01/21,TRAVESSA SANTA MARGARIDA  81,VERGEL DO LAGO,14:11,AMEAÇA,"-11.1747002, -40.5146652"
1337,24/01/21,VILA ALMEIDA  30,VERGEL DO LAGO,14:25,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,"-1.4642613, -48.49665853333333"
1338,24/01/21,RUA ANTONIO MAGALHAES ,JATIÚCA,15:20,PERTURBAÇÃO DA TRANQUILIDADE,"-21.1851551, -46.9742065"
1339,24/01/21,RUA ANA NERI. / VILA DONA ANA. Nº34 03,PAJUÇARA,15:23,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,
1340,24/01/21,AV. SENADOR RUI PALMEIRA ,LEVADA,15:42,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,"-9.6660651, -35.764293"
1341,24/01/21,RUA ANA NERI NUMA VILA NA CASA 3 34,PONTA DA TERRA,15:45,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,
1342,24/01/21,RUA ANA NERI 34,PAJUÇARA,15:47,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,"-22.4715835, -43.8272824"
1343,24/01/21,XXXXXXX ,TRAPICHE DA BARRA,15:50,AMEAÇA,
1344,24/01/21,RUA  PEDRO MONTEIRO ,POÇO,16:11,VIOLÊNCIA CONTRA A MULHER,"-8.0160148, -34.8524295"
1345,24/01/21,AVENIDA SENADO RUI PALMEIRA ,LEVADA,16:48,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,
1346,24/01/21,RUA JANGADEIROS ALAGOANOS  1057,PAJUÇARA,16:50,VIOLAÇÃO DE DOMICILIO,"-9.6733673, -35.71897"
1347,24/01/21,RUA CABO REIS.  298,PONTA GROSSA,16:58,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,"-3.7093013, -38.5743665"
1348,24/01/21,RUA PANAIR 50,VERGEL DO LAGO,17:50,AMEAÇA,"-3.0503125, -60.0483184"
1349,24/01/21,RUA DR ERNANDES BASTOS ,PONTAL DA BARRA,17:59,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,"-9.6957162, -35.7798301"
1350,24/01/21,RUA PANAIR 50,VERGEL DO LAGO,18:11,AMEAÇA,"-3.0503125, -60.0483184"
1351,24/01/21,PRAÇA DO PIRULITO ,CENTRO,18:45,TENTATIVA DE ROUBO,"-23.0236893, -46.981662746150825"
1352,24/01/21,RUA SANTA SOFIA ,PAJUÇARA,18:55,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,"-7.9158739, -34.8978916"
1353,24/01/21,RUA. DJALMA COSTA  ,VERGEL DO LAGO,19:09,PERTURBAÇÃO DA TRANQUILIDADE,"-22.8623219, -43.5335559"
1354,24/01/21,RUA CARLOS DE MIRANDA - BLOCO 01 ,POÇO,19:28,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,
1355,24/01/21,RUA SANTA SOFIA ,PONTA DA TERRA,19:30,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,"-7.9158739, -34.8978916"
1356,24/01/21,RUA PORTO CALVO ,PONTA GROSSA,19:36,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,"-3.7681583, -38.580532"
1357,24/01/21,RUA. ZEFERINO RODRIGUES  653,POÇO,19:54,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,"-30.9646342, -54.6779239"
1358,24/01/21,RUA PROFESSOR MARQUES RIBEIRO  ,TRAPICHE DA BARRA,19:59,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,
1359,24/01/21,RUA JOSÉ MARQUES RIBEIRO ,TRAPICHE DA BARRA,20:11,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,"-23.384746, -46.8625047"
1360,24/01/21,RUA CHAVIER DE BRITO ,PRADO,20:29,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,
1361,24/01/21,RUA JOSE MARQUES RIBEIRO  ,TRAPICHE DA BARRA,20:38,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,"-23.384746, -46.8625047"
1362,24/01/21,XXXX ,VERGEL DO LAGO,20:43,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,"33.029324, -83.713453"
1363,24/01/21,AVENIDA DOUTOR JOSÉ SAMPAIO LUZ 340,PONTA VERDE,20:43,LESÃO CORPORAL,"-9.660144, -35.7108497"
1364,24/01/21,RUA BIRAJARA 20,TRAPICHE DA BARRA,20:47,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,
1365,24/01/21,CONJUNTO JARDIM BOA ESPERANÇA ,VERGEL DO LAGO,20:47,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,"-9.6566492, -35.752847"
1366,24/01/21,RUA FERNANDO DE BARROS  ,CENTRO,21:01,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,"-22.9984598, -47.5020453"
1367,24/01/21,RUA SANTA ANA 03,POÇO,21:11,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,"-27.1944578, -52.1172599"
1368,24/01/21,QUAD 23 440,VERGEL DO LAGO,21:15,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,"-29.8178353, 30.943357959574534"
1369,24/01/21,RUA. UBIRAJARA  20,TRAPICHE DA BARRA,21:40,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,"-22.7498297, -43.452808"
1370,24/01/21,QUAD 23 406,VERGEL DO LAGO,21:46,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,"-29.8178353, 30.943357959574534"
1371,24/01/21,RUA JOSÉ MARQUES RIBEIRO  ,TRAPICHE DA BARRA,22:18,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,"-23.384746, -46.8625047"
1372,24/01/21,RUA DR. ERNANDES BASTO ,PONTAL DA BARRA,22:22,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,
1373,24/01/21,RUA ELIZIO DE CARVALHO  266,PAJUÇARA,22:25,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,"-19.2180968, -42.6052554"
1374,24/01/21,XX ,POÇO,22:29,ROUBO,"61.4991213, 23.7912524"
1375,24/01/21,RUA. DA PALMA  ,VERGEL DO LAGO,22:31,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,"-8.0636187, -34.8802262"
1376,24/01/21,RUA. JOSE MARQUES RIBEIRO  ,TRAPICHE DA BARRA,22:35,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,"-23.384746, -46.8625047"
1377,24/01/21,RUA FERNANDO DE BARROS  ,CENTRO,22:47,PORTE DE ARMA,"-22.9984598, -47.5020453"
1378,24/01/21,RUA DR. FADI DE CARVALHO ,JATIÚCA,22:53,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,
1379,24/01/21,RUA ALZIRA AGUIAR 107,PONTA DA TERRA,22:55,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,"-27.4962153, -48.4164433"
1380,24/01/21,RUA DA PAZ ,TRAPICHE DA BARRA,23:13,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,"39.7314646, -8.5931215"
1381,24/01/21,TRAVESSA BOM SUCESSO EM FRENTE AO N°58,VERGEL DO LAGO,23:24,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,
1382,24/01/21,RUA F ,TRAPICHE DA BARRA,23:36,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,"-25.7808055, 28.292533510046802"
1383,24/01/21,RUA. PROFESSOR LORENÇO PEIXOTO  68,JATIÚCA,23:48,AMEAÇA,
1384,25/01/21,RUA NOVA ESPERANCA ,VERGEL DO LAGO,0:09,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,"-2.5607321, -44.2778358"
1385,25/01/21,RUA ENGENHEIRO DEMOCRIPO SARMENTO BAROCA  ,PAJUÇARA,0:10,PERTURBAÇÃO DA TRANQUILIDADE,
1386,25/01/21,QUADRA 26. 26,TRAPICHE DA BARRA,0:11,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,"-23.299332, -48.054657"
1387,25/01/21,RUA TÉSIO VANDERLEI  ,LEVADA,0:11,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,
1388,25/01/21,RUA VINTE E SEIS DE ABRIL DE ABRIL 230,POÇO,0:23,AMEAÇA,"-29.6785725, -53.8565623"
1389,25/01/21,RUA FORMOSA ,PONTA GROSSA,0:25,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,"-30.0333419, -51.2315187"
1390,25/01/21,RUA FORMOSA ,PONTA GROSSA,0:26,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,"-30.0333419, -51.2315187"
1391,25/01/21,RUA HUNBERTO SANTA CRUZ  3,VERGEL DO LAGO,0:27,PERTURBAÇÃO DA TRANQUILIDADE,
1392,25/01/21,RUA ALZIRA AGUIAR ,PAJUÇARA,0:31,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,"-27.4962153, -48.4164433"
1393,25/01/21,VIRGEM DOS POBRES III ,VERGEL DO LAGO,0:43,PERTURBAÇÃO DA TRANQUILIDADE,"-9.015754, -35.2258895"
1394,25/01/21,AVENIDA COMENDADOR TERCIO VANDERLEI ,LEVADA,0:46,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,
1395,25/01/21,RUA SANTA MARGARIDA  ,TRAPICHE DA BARRA,1:00,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,"39.7519318, -7.9212345"
1396,25/01/21,RUA SANTA ROSA  ,VERGEL DO LAGO,1:20,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,"-7.0744259, -41.4269396"
1397,25/01/21,RUA DA PALMA. 457,VERGEL DO LAGO,1:41,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,"-8.0636187, -34.8802262"
1398,25/01/21,RUA JOSÉ CAVALCANTE ,PONTA GROSSA,1:45,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,"-6.6800448, -36.6550489"
1399,25/01/21,AVENIDA DA PAZ ,JARAGUÁ,1:54,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,"-9.6703756, -35.7270542"
1400,25/01/21,QUADRA 12 20,VERGEL DO LAGO,2:10,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,"-23.299332, -48.054657"
1401,25/01/21,RUA SANTO ANTONIO. ,PONTA GROSSA,2:13,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,"-23.1374163, -46.4627065"
1402,25/01/21,RUA CAMPO VERDE ,VERGEL DO LAGO,3:23,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,"40.9228198, -8.5005232"
1403,25/01/21,AV. SENADOR RUI PALMEIRA. ,VERGEL DO LAGO,3:31,AMEAÇA,"-9.6660651, -35.764293"
1404,25/01/21,RUA CAMPO VERDE  ,VERGEL DO LAGO,5:06,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,"40.9228198, -8.5005232"
1405,25/01/21,RUA BENJAMIM CONSTANT ,TRAPICHE DA BARRA,5:47,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,"-9.0641492, -68.6668843"
1406,25/01/21,RUA PEDRO MONTEIRO N° 137 ,CENTRO,6:54,FURTO QUALIFICADO,"-8.0160148, -34.8524295"
1407,25/01/21,QUADRA 44 ,TRAPICHE DA BARRA,7:15,PORTE DE ARMA,"-2.96569545, -59.991153767425004"
1408,25/01/21,RUA MARQUÊS DE POMBAL ,PONTA GROSSA,8:57,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,"38.721077, -9.3100438"
1409,25/01/21,RUA DOM ADELMO MACHADO / RESIDENCIA DE COR CLARA ,PONTA GROSSA,9:04,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,
1410,25/01/21,AVENIDA ÁLVARO OTACÍLIO ,JATIÚCA,9:28,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,"-9.6521757, -35.699021"
1411,25/01/21,AV. ÁLVORO OTACÍLIO ,JATIÚCA,9:47,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,
1412,25/01/21,QD.11 N°65 ,VERGEL DO LAGO,10:07,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,"-16.641705700000003, -49.32832889450915"
1413,25/01/21,QD. C ,VERGEL DO LAGO,10:20,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,"-9.4971754, -35.8159983"
1414,25/01/21,TRAV. SÃO FELIX Nº17 ,VERGEL DO LAGO,11:28,PERTURBAÇÃO DA TRANQUILIDADE,"-12.1235675, -38.4368894"
1415,25/01/21,XXXXXXXX ,PAJUÇARA,11:45,USUÁRIO DE ENTORPECENTE,
1416,25/01/21,XXXXXXXXX ,PONTAL DA BARRA,11:50,USUÁRIO DE ENTORPECENTE,"52.7235866, 0.38260848659914326"
1417,25/01/21,RUA ALIPIO BARBOSA ,PONTAL DA BARRA,12:55,PERTURBAÇÃO DA TRANQUILIDADE,"-3.6235026, -39.8229209"
1418,25/01/21,RUA DO COMERCIO ,CENTRO,12:56,ROUBO,"-11.9591748, -38.97365056447447"
1419,25/01/21,RUA DO COMERCIO ,CENTRO,13:07,ROUBO,"-11.9591748, -38.97365056447447"
1420,25/01/21,AV. PRESIDENTE SANTO EDUARDO Nº 780 ,POÇO,13:16,LESÃO CORPORAL,
1421,25/01/21,AVENIDA ALVARO OTACÍLIO ,PONTA VERDE,13:26,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,"-9.6521757, -35.699021"
1422,25/01/21,RUA AGNELO BARBOSA ,PRADO,13:34,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,"-9.6655013, -35.7493975"
1423,25/01/21,RUA CABO REIS  ,PONTA GROSSA,14:37,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,"-3.7093013, -38.5743665"
1424,25/01/21,AV. JOAO DAVINO  ,MANGABEIRAS,14:42,ROUBO,"-9.6431577, -35.7026426"
1425,25/01/21,AV. JOAO DAVINO ,MANGABEIRAS,14:48,TENTATIVA DE ROUBO,"-9.6431577, -35.7026426"
1426,25/01/21,RAU CAPITÃO MARINHO FALÇÃO ,POÇO,14:57,DISPARO DE ARMA DE FOGO,
1427,25/01/21,QD 48  ,VERGEL DO LAGO,14:59,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,"-16.651468649999998, -49.34006008203224"
1428,25/01/21,RUA ANTONIO FERREIRA BARBOSA ,PONTA GROSSA,15:11,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,"-22.5879691, -46.5257212"
1429,25/01/21,RUA SAO PEDRO  ,TRAPICHE DA BARRA,16:04,PERTURBAÇÃO DA TRANQUILIDADE,"-23.1761487, -45.8788448"
1430,25/01/21,RUA DO CAJUEIRO 39,VERGEL DO LAGO,16:07,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,"-2.6049727, -44.2055887"
1431,25/01/21,AV. SILVIO CARLOS VIANA. ,PONTA VERDE,16:32,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,"-9.6646499, -35.6972469"
1432,25/01/21,XXXXXXXXXXXX ,PONTA VERDE,16:44,USUÁRIO DE ENTORPECENTE,
1433,25/01/21,RUA JOSE CAVALCANTE  ,VERGEL DO LAGO,16:54,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,"-6.6800448, -36.6550489"
1434,25/01/21,RUA AGOSTINHO DA SILVA NEVES ,POÇO,16:55,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,"-10.7352632, -37.8200396"
1435,25/01/21,AV. SILVIO VIANA (AV. ROBERT KENNEDY) ,PONTA VERDE,17:28,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,
1436,25/01/21,RUA SAO PEDRO ,TRAPICHE DA BARRA,17:34,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,"-23.1761487, -45.8788448"
1437,25/01/21,TRAVESSA SAO FELEX  418,VERGEL DO LAGO,17:38,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,
1438,25/01/21,RUA MONSENHOR LUIZ BARBOSA ,TRAPICHE DA BARRA,17:44,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,"-9.6689804, -35.7541974"
1439,25/01/21,XXXXXXXXXXXXX ,POÇO,17:48,AMEAÇA,
1440,25/01/21,RUA ANTÔNIO AGUIAR ,PONTA DA TERRA,17:56,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,"-27.0854576, -48.9065605"
1441,25/01/21,AV. SILVIO CARLOS LUNNA VIANA  ,PONTA VERDE,18:05,PERTURBAÇÃO DA TRANQUILIDADE,
1442,25/01/21,TRAV. BOM SUCESSO ,VERGEL DO LAGO,18:07,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,"-8.1017448, -34.9788225"
1443,25/01/21,RUA JOSÉ CAVALCANTE ,VERGEL DO LAGO,18:21,PERTURBAÇÃO DA TRANQUILIDADE,"-6.6800448, -36.6550489"
1444,25/01/21,RUA CARAMURU ,PRADO,18:22,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,"-16.4068214, -39.0856487"
1445,25/01/21,RUA DO STIBIRA. 77,PONTA GROSSA,18:38,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,
1446,25/01/21,RUA AMILTON DE BARROS SOLTINHO ,JATIÚCA,18:39,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,
1447,25/01/21,AVENIDA COMENDADOR GUSTAVO PAIVA,MANGABEIRAS,18:40,ROUBO,"-9.6302771, -35.699408"
1448,25/01/21,PRAÇA GUIMARAES PASSOS 14C,POÇO,18:44,AMEAÇA,
1449,25/01/21,PRAÇA DOS SEIXOS/ RUA CANDIDO LINS ,CENTRO,18:44,VIOLÊNCIA CONTRA A MULHER,
1450,25/01/21,RUA FORMOSA ,PONTA GROSSA,18:47,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,"-30.0333419, -51.2315187"
1451,25/01/21,CONJ.  LENITA VILELA RUA F 12,TRAPICHE DA BARRA,18:54,PERTURBAÇÃO DA TRANQUILIDADE,
1452,25/01/21,AV. ALVARO OTACILIO ,PONTA VERDE,19:00,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,"-9.6521757, -35.699021"
1453,25/01/21,RUA CABO REIS ,PONTA GROSSA,19:01,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,"-3.7093013, -38.5743665"
1454,25/01/21,AV. SILVIO CARLOS LUNNA VIANNA ,PONTA VERDE,19:04,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,
1455,25/01/21,AVENIDA MONTE CASTELO ,VERGEL DO LAGO,19:12,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,"-23.037913, -45.5694142"
1456,25/01/21, RUA BENO MAIA GOMES. 95,PONTA GROSSA,19:13,ROUBO,
1457,25/01/21,AVENIDA SILVIO VIANA ,PONTA VERDE,19:14,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,"-9.6646499, -35.6972469"
1458,25/01/21,RUA JANGADEIROS ALAGOANOS  ,PAJUÇARA,19:18,LESÃO CORPORAL,"-9.6703914, -35.7167711"
1459,25/01/21,RUA HUMBERTO GUIMARÃES. ,PONTA VERDE,19:19,ROUBO,"41.4782405, -8.2722976"
1460,25/01/21,RUA BELA VISTA ,PONTAL DA BARRA,19:25,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,"-8.23590985, -34.98593376058024"
1461,25/01/21,RUA ALVARO MARINHO ,PRADO,19:35,ROUBO,"-9.6704167, -35.7474249"
1462,25/01/21,RUA DO ESTIBIRA. 1733 ,PONTA GROSSA,19:47,PERTURBAÇÃO DA TRANQUILIDADE,
1463,25/01/21,TRAV. BOM SUCESSO ,TRAPICHE DA BARRA,20:29,PERTURBAÇÃO DA TRANQUILIDADE,"-8.1017448, -34.9788225"
1464,25/01/21,RUA BELA VISTA ,PONTAL DA BARRA,20:32,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,"-8.23590985, -34.98593376058024"
1465,25/01/21,RUA BELA VISTA ,PONTAL DA BARRA,20:52,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,"-8.23590985, -34.98593376058024"
1466,25/01/21,TRAVESSA BENJAMIM ,TRAPICHE DA BARRA,20:55,PERTURBAÇÃO DA TRANQUILIDADE,"-10.0268263, -67.7959289"
1467,25/01/21,CONJ. VIRGEM DOS POBRES  II / QD 40 4,TRAPICHE DA BARRA,21:04,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,
1468,25/01/21,MULTI EVENTOS. ,PAJUÇARA,21:10,AMEAÇA,"-22.8226894, -43.08743731051389"
1469,25/01/21,RUA:W QD:40 ,VERGEL DO LAGO,21:11,PERTURBAÇÃO DA TRANQUILIDADE,
1470,25/01/21,CONJ. LENITA VILELA. QUADRA F. ,TRAPICHE DA BARRA,21:12,PERTURBAÇÃO DO SOSSEGO OU TRABALHO ALHEIO,
